roundId,investor
round_533,Das Capital
round_533,Simile Ventures
round_534,Daffodil Software
round_535,Firoze Irani
round_535,Vipul Parekh
round_535,Ananda Kallugadde
round_535,Rajesh K Murthy
round_536,Shailesh Haribhakti
round_537,Aequs Group
round_538,Orient BlackSwan
round_539,Rahul Agarwalla
round_539,Keshav Sanghi
round_539,Batlivala & Karani Securities
round_540,Multipoint Capital
round_541,Saama Capital and DSG Consumer Partners
round_542,SAIF Partners
round_542,YCombinator
round_542,Venture Highway
round_543,KStart Capital
round_545,Wellington Management
round_545,DG Ventures India
round_545,True North
round_546,Vida Ventures
round_546,Snehal Mantri
round_546,Anshu Bahadur
round_547,Tiger Global Management
round_548,Xiaomi Technologies
round_548,Shunwei Capital
round_549,Amicus Capital
round_550,Accel Partners
round_550,Zephyr Peacock
round_551,Experian
round_552,Nexus
round_552,GREE Ventures
round_553,Innoven Capital
round_555,SAIF Partners
round_555,Helion Ventures
round_555,FIL Capital Management
round_556,DSG Consumer Partners
round_556,Sequoia Capital
round_556,Saama Capital
round_557,IFMR Capital
round_558,Rockstart Accelerator
round_559,Indian Angel network
round_559,IAN Fund
round_560,Venture Catalysts
round_561,Matrix Partners India
round_561,WaterBridge Ventures
round_561,Whiteboard Capital
round_561,Sarbvir Singh
round_562,Blume Ventures
round_562,Indian Angel Network
round_563,Greenfield Advisory
round_564,Abhishek Bhatewara
round_564,Vivek Shah
round_564,Haitong Securities
round_564,Suraj Saharan
round_564,Paras Arora
round_565,Hunch Ventures
round_565,Spiral Ventures
round_565,500 Startups
round_565,Singapore Angel Network
round_565,Citrus Payments
round_566,Helion Ventures Partners
round_567,Kotak Mahindra Bank
round_568,Incubate Fund
