investor,startup,roundId,investmentType,amountUSD,date,year
Yogesh Bansal,Find My Stay,round_1529,Seed,,2016-07-12,2016
Rainmaker Ventures,YAAP,round_1530,Private Equity,5000000.0,2016-07-13,2016
Ajay Piramal,Utoo Cabs,round_1531,Seed,,2016-07-13,2016
Tracxn Labs,Twigly,round_1532,Seed,600000.0,2016-07-13,2016
Hyderabad Angels,Twigly,round_1532,Seed,600000.0,2016-07-13,2016
Kunal Shah,Twigly,round_1532,Seed,600000.0,2016-07-13,2016
Gaurav Bhalotia,Twigly,round_1532,Seed,600000.0,2016-07-13,2016
SAIF Partners,ShareChat,round_1533,Private Equity,1350000.0,2016-07-13,2016
India Quotient,ShareChat,round_1533,Private Equity,1350000.0,2016-07-13,2016
Unitus Seed Fund,Urban Tailor,round_1534,Private Equity,,2016-07-13,2016
Accel Partners,RentMojo,round_1535,Private Equity,5000000.0,2016-07-13,2016
IDG Ventures India,RentMojo,round_1535,Private Equity,5000000.0,2016-07-13,2016
Brand Capital,CityFurnish,round_1536,Seed,,2016-07-13,2016
Jaspal Bindra,HEAL Institute,round_1537,Seed,,2016-07-13,2016
Parth Jindal,HEAL Institute,round_1537,Seed,,2016-07-13,2016
Keiretsu Forum,Augrav,round_1538,Seed,450000.0,2016-07-14,2016
Plug and Play Tech Center,ShoppinPal,round_1539,Private Equity,1070000.0,2016-07-14,2016
Steelhead Ventures & Others,ShoppinPal,round_1539,Private Equity,1070000.0,2016-07-14,2016
500 Startups,TransTutors / AskIITians,round_1540,Private Equity,,2016-07-14,2016
SRI Capital,WorkApps,round_1541,Seed,1000000.0,2016-07-15,2016
Sumit Jain,BaggOut,round_1543,Seed,,2016-07-15,2016
Sumit Jain,BaggOut,round_1543,Seed,,2016-07-15,2016
Anurag Gupta,BaggOut,round_1543,Seed,,2016-07-15,2016
Varun Khanna,BaggOut,round_1543,Seed,,2016-07-15,2016
Faraz Khan,BaggOut,round_1543,Seed,,2016-07-15,2016
GEMS group,TripShelf,round_1544,Seed,250000.0,2016-07-15,2016
Abhijit Avasthi,SatvaCart,round_1545,Seed,,2016-07-15,2016
Karan Chellani,SatvaCart,round_1545,Seed,,2016-07-15,2016
SP Vijay,SatvaCart,round_1545,Seed,,2016-07-15,2016
Times Internet,Ridlr,round_1546,Private Equity,6000000.0,2016-07-15,2016
Innoven Capital,Ridlr,round_1546,Private Equity,6000000.0,2016-07-15,2016
Matrix Partners India,Ridlr,round_1546,Private Equity,6000000.0,2016-07-15,2016
Qualcomm Ventures,Ridlr,round_1546,Private Equity,6000000.0,2016-07-15,2016
SRI Capital,Yellowdig,round_1547,Seed,650000.0,2016-07-18,2016
SRI Capital,Zuppler,round_1548,Seed,650000.0,2016-07-18,2016
IIFL and Accel Partners,BlueStone,round_1549,Private Equity,30000000.0,2016-07-18,2016
Kalaari Capital,BlueStone,round_1549,Private Equity,30000000.0,2016-07-18,2016
IvyCap Ventures,BlueStone,round_1549,Private Equity,30000000.0,2016-07-18,2016
RB Investments,BlueStone,round_1549,Private Equity,30000000.0,2016-07-18,2016
Intelli Reboot Digital Pvt. Ltd,underDOGS,round_1550,Private Equity,,2016-07-18,2016
Satish Jamdar,ImageProVision,round_1551,Seed,,2016-07-18,2016
Star India Pvt. Ltd,Sagacito,round_1552,Private Equity,10000000.0,2016-07-19,2016
Franklin Templeton International Services Pvt. Ltd,Deal4Loans / Wishfin,round_1553,Private Equity,15000000.0,2016-07-19,2016
Prime Venture Partners,NiYO Solutions,round_1554,Private Equity,1000000.0,2016-07-19,2016
Green House Ventures Accelerator,AppLop,round_1555,Seed,250000.0,2016-07-19,2016
Abhishek Agarwal,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Krishnakumar Nataraj,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Sarath Sura,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Shanti Mohan,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Sarthak and Nihit Agarwal,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Suramya Gupta,Truckola,round_1557,Seed,595000.0,2016-07-20,2016
Nilesh Shah,iServe Financial,round_1558,Seed,,2016-07-20,2016
Nihon Kotsu Co,MyTaxiIndia,round_1559,Private Equity,1000000.0,2016-07-21,2016
Swastika Company Pvt Ltd,AbeRuk,round_1560,Seed,,2016-07-21,2016
Indian Angel Network,Wiwigo,round_1561,Seed,595000.0,2016-07-21,2016
Verlinvest,Drums Food,round_1562,,,2016-07-21,2016
DSG Consumer Partners,Drums Food,round_1562,,,2016-07-21,2016
Edelweiss Private Equity,BRIDGEi2I,round_1564,Private Equity,,2016-06-01,2016
Beenext,Droom,round_1565,Private Equity,,2016-06-02,2016
Digital Garage,Droom,round_1565,Private Equity,,2016-06-02,2016
Lightbox,Droom,round_1565,Private Equity,,2016-06-02,2016
Beenos,Droom,round_1565,Private Equity,,2016-06-02,2016
MapmyIndia,Visit,round_1566,Seed,,2016-06-02,2016
Parampara Capital,Atomberg,round_1567,Private Equity,1000000.0,2016-06-02,2016
Venture Catalysts,Coutloot,round_1568,Seed,,2016-06-02,2016
Rainmaker Ventures,Limo,round_1569,Private Equity,1000000.0,2016-06-02,2016
MadhanKumar Madathupalayam,iCliniq,round_1570,Seed,,2016-06-03,2016
Romulus Capital,Vyome Biosciences,round_1572,Private Equity,2000000.0,2016-06-03,2016
Sreenivasa Reddy Musani,SillyMonks,round_1573,Seed,448000.0,2016-06-06,2016
Sequoia Capital,CueMath,round_1574,Private Equity,4000000.0,2016-06-07,2016
Unitus Seed Fund,CueMath,round_1574,Private Equity,4000000.0,2016-06-07,2016
Yeahmobi,KrazyBee,round_1575,Private Equity,2000000.0,2016-06-07,2016
Fenqile,KrazyBee,round_1575,Private Equity,2000000.0,2016-06-07,2016
Microsoft Ventures,HelpShift,round_1577,Private Equity,23000000.0,2016-06-07,2016
Salesforce Ventures,HelpShift,round_1577,Private Equity,23000000.0,2016-06-07,2016
Kalaari Capital,CreditVidya,round_1578,Private Equity,1000000.0,2016-06-07,2016
Sarath Sura,Grey Campus,round_1579,Seed,1000000.0,2016-06-08,2016
Kae Capital,ListUp,round_1580,Seed,500000.0,2016-06-08,2016
Kunal Shah,ListUp,round_1580,Seed,500000.0,2016-06-08,2016
Sandeep Tandon,ListUp,round_1580,Seed,500000.0,2016-06-08,2016
Indian Angel Network,6Degree,round_1581,Seed,200000.0,2016-06-08,2016
Sanjiv Rai,Shopwati,round_1582,Seed,,2016-06-08,2016
Kunal Shah,Cookifi,round_1583,Seed,,2016-06-08,2016
Aneesh Reddy,Cookifi,round_1583,Seed,,2016-06-08,2016
Tracxn Labs,Cookifi,round_1583,Seed,,2016-06-08,2016
Venkat Tadanki,Cookifi,round_1583,Seed,,2016-06-08,2016
Krishna Mehra,Cookifi,round_1583,Seed,,2016-06-08,2016
Amit Rathore,Cookifi,round_1583,Seed,,2016-06-08,2016
Axiata Digital,StoreKing,round_1584,Private Equity,16000000.0,2016-06-08,2016
Ankit Maheshwari,Wired Hub,round_1585,Seed,,2016-06-08,2016
Anand Singh,Wired Hub,round_1585,Seed,,2016-06-08,2016
BlackJag Partners,MySeniorDoctor,round_1586,Seed,200000.0,2016-06-08,2016
Cameron Jones,Teabox,round_1587,Seed,,2016-06-09,2016
Ritesh Dwivedy,ExtraaEdge,round_1588,Seed,,2016-06-09,2016
Priti Padhy,ExtraaEdge,round_1588,Seed,,2016-06-09,2016
3 undisclosed HNIs,EPayLater,round_1589,Seed,2000000.0,2016-06-09,2016
Ratan Tata,Kyazoonga,round_1590,Seed,,2016-06-10,2016
CIO Angel Network,Paytunes,round_1591,Private Equity,500000.0,2016-06-10,2016
Indian Angel Network,Paytunes,round_1591,Private Equity,500000.0,2016-06-10,2016
Vivek Joshi,Kickstart Jobs,round_1592,Seed,,2016-06-10,2016
Mohit Satyanand,Kickstart Jobs,round_1592,Seed,,2016-06-10,2016
Amit Banati,Kickstart Jobs,round_1592,Seed,,2016-06-10,2016
Arun Khanna,Kickstart Jobs,round_1592,Seed,,2016-06-10,2016
Edelweiss Private Equity,Freshee,round_1593,Private Equity,,2016-06-10,2016
Ratan Tata,MadRat Games,round_1594,Seed,,2016-06-10,2016
Bhavish Aggarwal,MadRat Games,round_1594,Seed,,2016-06-10,2016
Ankit Bhati,MadRat Games,round_1594,Seed,,2016-06-10,2016
Binny Bansal,MadRat Games,round_1594,Seed,,2016-06-10,2016
Girish Mathrubootham,MadRat Games,round_1594,Seed,,2016-06-10,2016
TVS Automobile Solutions Ltd,Jazzmyride,round_1595,Private Equity,,2016-06-11,2016
TVS Automobile Solutions Ltd,AutoSense,round_1596,Private Equity,,2016-06-11,2016
TVS Automobile Solutions Ltd,Redsun Telematics,round_1597,Private Equity,,2016-06-11,2016
50K Ventures,KhanaGadi,round_1598,Seed,,2016-06-13,2016
Viridian Capital,Matrubharti,round_1600,Seed,30000.0,2016-06-13,2016
EVC Ventures,EdTechReview,round_1601,Seed,,2016-06-14,2016
Valpro Capital and existing investors,Bonhomia,round_1602,Private Equity,,2016-06-14,2016
MCube8,Gobolt,round_1603,Seed,,2016-06-14,2016
You & Mr Jones,Jivox,round_1604,Private Equity,6000000.0,2016-06-14,2016
Fortisure Ventures,Jivox,round_1604,Private Equity,6000000.0,2016-06-14,2016
Diaz Nesamoney,Jivox,round_1604,Private Equity,6000000.0,2016-06-14,2016
Saama Capital,Sminq,round_1605,Seed,1000000.0,2016-06-14,2016
Blume Ventures & Vaibhav Domkundwar,Sminq,round_1605,Seed,1000000.0,2016-06-14,2016
Accel Partners India,CureJoy,round_1606,Private Equity,4400000.0,2016-06-14,2016
Indian Angel Network,Oneway.cab,round_1607,Seed,450000.0,2016-06-15,2016
IvyCap Ventures and Unicorn India Ventures,GrabOnRent,round_1608,Private Equity,,2016-06-15,2016
Info Edge (India) Ltd,Diro Labs,round_1609,Private Equity,450000.0,2016-06-16,2016
Info Edge (India) Ltd,Unnati Helpers,round_1610,Private Equity,600000.0,2016-06-16,2016
Atul Ingle,Athletto,round_1611,Seed,,2016-06-16,2016
Guy Oseary,Saavn,round_1612,Private Equity,,2016-06-16,2016
Sequoia Capital,Voonik,round_1613,Private Equity,20000000.0,2016-06-16,2016
Nimmagadda Prasad,ThinkPhi,round_1614,Seed,,2016-06-16,2016
Ravi Adusumalli,Cleartax,round_1615,Private Equity,12000000.0,2016-06-17,2016
SAIF Partners,Cleartax,round_1615,Private Equity,12000000.0,2016-06-17,2016
Infuse Ventures,Silvan Innovation Labs,round_1616,Private Equity,900000.0,2016-06-17,2016
New Enterprise Associates (NEA),GreytHR,round_1617,Private Equity,5200000.0,2016-06-17,2016
Blume Ventures,GreytHR,round_1617,Private Equity,5200000.0,2016-06-17,2016
BetOnIndia Technology Pvt Ltd,Duffl,round_1618,Seed,,2016-06-17,2016
Sanjay Verma,BYG,round_1619,Seed,,2016-06-17,2016
Amit Khanna (LetsVenture),BYG,round_1619,Seed,,2016-06-17,2016
Hamraj Kumar,Qonfuse,round_1621,Seed,,2016-06-20,2016
Timbru Ventures,The Indian IRIS,round_1622,Seed,,2016-06-20,2016
Swan Angel Network,Onspoon,round_1623,Seed,150000.0,2016-06-21,2016
Idein Ventures,REstate,round_1624,Seed,,2016-06-21,2016
Concur Technologies,Cleartrip,round_1625,Private Equity,,2016-06-21,2016
Gund Investment,Cleartrip,round_1625,Private Equity,,2016-06-21,2016
IndiaMart,ProcMart,round_1626,Private Equity,,2016-06-21,2016
Bitkemy Ventures,Celerix,round_1627,Seed,400000.0,2016-06-21,2016
Unicorn Venture,NatureNama,round_1628,Seed,225000.0,2016-06-21,2016
CP Bothra,CyclopsMedtech,round_1629,Seed,,2016-06-21,2016
The Chennai Angels,Syona Cosmetics,round_1630,Seed,150000.0,2016-06-21,2016
RB Investments PTE Ltd,PrettySecrets,round_1631,Private Equity,6000000.0,2016-06-21,2016
Orios Venture Partners,PrettySecrets,round_1631,Private Equity,6000000.0,2016-06-21,2016
Rahul Kirloskar,SpiderG,round_1632,Seed,150000.0,2016-06-22,2016
Fusion Tech Ventures,SpiderG,round_1632,Seed,150000.0,2016-06-22,2016
Adi Saravanan,SpiderG,round_1632,Seed,150000.0,2016-06-22,2016
Pravin Dongre,SpiderG,round_1632,Seed,150000.0,2016-06-22,2016
Mahendra Doshi,SpiderG,round_1632,Seed,150000.0,2016-06-22,2016
Saif Partners,FarEye,round_1633,Private Equity,3500000.0,2016-06-23,2016
Purvi Ventures,The Uolo,round_1634,Seed,210000.0,2016-06-23,2016
Rajul Garg,The Uolo,round_1634,Seed,210000.0,2016-06-23,2016
Vipin Arora,The Uolo,round_1634,Seed,210000.0,2016-06-23,2016
Indian Angel Network,Staqu,round_1635,Seed,,2016-06-23,2016
Rise India,Padhopadhao,round_1636,Private Equity,,2016-06-23,2016
Jitendra Gupta,Drivify,round_1637,Seed,50000.0,2016-06-24,2016
Pankaj Tripathi,Drivify,round_1637,Seed,50000.0,2016-06-24,2016
Nexus Venture Partners,PratiLipi,round_1638,Seed,,2016-06-24,2016
Kalaari Capital,ParaBlu,round_1639,Seed,500000.0,2016-06-24,2016
GVFL,Schedulers Logistics,round_1640,Private Equity,6000000.0,2016-06-24,2016
Mayfield Ventures,LEAP India,round_1641,Private Equity,3000000.0,2016-06-24,2016
SAIF Partners,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Aprameya Radhakrishnan,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Phanindra Sama,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Subba Rao Telidevara,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Vibhu Garg,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Paula Ravindra Mariwala,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Gaurav Bhalotia,YourDost,round_1643,Seed,1200000.0,2016-06-27,2016
Kanodia family,Voler Cars,round_1645,Seed,,2016-06-27,2016
Amit Banka,Voler Cars,round_1645,Seed,,2016-06-27,2016
GVFL Ltd,Travelyaari,round_1646,Private Equity,3000000.0,2016-06-27,2016
Accel Partners,FabHotels,round_1647,Private Equity,8000000.0,2016-06-28,2016
RB Investments,FabHotels,round_1647,Private Equity,8000000.0,2016-06-28,2016
Bertelsmann India Investments,LendingKart,round_1649,Private Equity,32000000.0,2016-06-28,2016
Mayfield India,LendingKart,round_1649,Private Equity,32000000.0,2016-06-28,2016
Saama Capital,LendingKart,round_1649,Private Equity,32000000.0,2016-06-28,2016
India Quotient,LendingKart,round_1649,Private Equity,32000000.0,2016-06-28,2016
Sanjeev Sinha,Hello Tax,round_1650,Seed,295000.0,2016-06-28,2016
Soniks Consulting,MySuperBrain,round_1651,Seed,,2016-06-28,2016
vCommission,LetReach,round_1653,Private Equity,100000.0,2016-06-29,2016
Harsh Vardhan Hada,TrendieApp,round_1654,Seed,50000.0,2016-06-29,2016
Piyush Jain,ImpactGuru,round_1655,Seed,,2016-06-29,2016
Uniqorn Ventures Fund,Velvetcase,round_1656,Private Equity,1500000.0,2016-06-29,2016
TV Mohandas Pai,Velvetcase,round_1656,Private Equity,1500000.0,2016-06-29,2016
S Somasegar,Velvetcase,round_1656,Private Equity,1500000.0,2016-06-29,2016
Brand Capital,Meru Cabs,round_1657,Private Equity,25000000.0,2016-06-30,2016
Aarin Capital,Campus Diaries,round_1658,Seed,220000.0,2016-06-30,2016
Omidyar Network,Scripbox,round_1659,Private Equity,,2016-06-30,2016
Accel Partners & existing investors,Scripbox,round_1659,Private Equity,,2016-06-30,2016
Carpediem Capital & Others,Biryani Blues,round_1660,Private Equity,368000.0,2016-06-30,2016
Niloufer Dundh,MotoMojo,round_1661,Seed,,2016-05-01,2016
Fauzan Rahim,MotoMojo,round_1661,Seed,,2016-05-01,2016
Balamurugan Mani,MotoMojo,round_1661,Seed,,2016-05-01,2016
The Chennai Angels,Get My Parking,round_1662,Seed,376000.0,2016-05-01,2016
Ankush Mehta,Prescribez,round_1663,Seed,145000.0,2016-05-01,2016
StartupXseed Ventures,Airwood,round_1664,Seed,,2016-05-02,2016
GMO Payment Gateway,Mobikwik,round_1665,Private Equity,50000000.0,2016-05-03,2016
MediaTek,Mobikwik,round_1665,Private Equity,50000000.0,2016-05-03,2016
Brand Capital,iDreamCareer,round_1666,Private Equity,,2016-05-03,2016
Shruth & Smith Group,Zuver,round_1669,Seed,180000.0,2016-05-03,2016
Hermes Group,Zuver,round_1669,Seed,180000.0,2016-05-03,2016
Blume Ventures,Prepathon,round_1670,Private Equity,,2016-05-03,2016
Rohan Angrish,EasyRoads,round_1671,Seed,200000.0,2016-05-04,2016
Hrishi Oberoi,EasyRoads,round_1671,Seed,200000.0,2016-05-04,2016
Rahul Mehta,EasyRoads,round_1671,Seed,200000.0,2016-05-04,2016
Kapil Hetamsaria,EasyRoads,round_1671,Seed,200000.0,2016-05-04,2016
Pranav Dedhia,EasyRoads,round_1671,Seed,200000.0,2016-05-04,2016
International Finance Corp,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
TPG Growth,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
Adveq Management,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
IDG Ventures,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
Ratan Tata,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
Kris Gopalakrishnan,Lenskart,round_1672,Private Equity,60000000.0,2016-05-04,2016
Sistema Asia Fund,Seclore,round_1673,Private Equity,12000000.0,2016-05-04,2016
Helion Venture,Seclore,round_1673,Private Equity,12000000.0,2016-05-04,2016
VentureEast,Seclore,round_1673,Private Equity,12000000.0,2016-05-04,2016
India Alternatives,Seclore,round_1673,Private Equity,12000000.0,2016-05-04,2016
Grex.in,SolarTown,round_1674,Seed,200000.0,2016-05-04,2016
Grex.in,Comarete,round_1675,Seed,200000.0,2016-05-04,2016
Kalaari Capital Accelerator Program,Active.ai,round_1677,Seed,500000.0,2016-05-04,2016
Kalaari Capital Accelerator Program,Affordplan,round_1678,Seed,500000.0,2016-05-04,2016
Kalaari Capital Accelerator Program,Indee,round_1679,Seed,500000.0,2016-05-04,2016
IDG Ventures,Unbxd,round_1680,Private Equity,,2016-05-05,2016
Inventus Capital,Unbxd,round_1680,Private Equity,,2016-05-05,2016
Indian Angel Network,Unbxd,round_1680,Private Equity,,2016-05-05,2016
Group of undisclosed Angel Investors & HNIs,WebAlligator,round_1681,Seed,375000.0,2016-05-05,2016
MoMagic Technologies,EduAce Services,round_1682,Private Equity,1000000.0,2016-05-06,2016
Rajul Garg & Others,Meesho,round_1683,Seed,,2016-05-06,2016
Exfinity Venture Partners,Locus,round_1685,Private Equity,2750000.0,2016-05-09,2016
Blume Ventures,Locus,round_1685,Private Equity,2750000.0,2016-05-09,2016
BeeNext,Locus,round_1685,Private Equity,2750000.0,2016-05-09,2016
Rajesh Ranavat,Locus,round_1685,Private Equity,2750000.0,2016-05-09,2016
Roopak Saluja,Toko Innovations,round_1686,Seed,450000.0,2016-05-09,2016
Vishal Khare,Toko Innovations,round_1686,Seed,450000.0,2016-05-09,2016
Manish Kheterpal,Rentickle,round_1687,Seed,250000.0,2016-05-09,2016
Vinay Mittal,Rentickle,round_1687,Seed,250000.0,2016-05-09,2016
Dinesh Mittal,Rentickle,round_1687,Seed,250000.0,2016-05-09,2016
Sandeep Gupta,Rentickle,round_1687,Seed,250000.0,2016-05-09,2016
IDG Ventures India,HealthifyMe,round_1688,Private Equity,6000000.0,2016-05-10,2016
Inventus Capital,HealthifyMe,round_1688,Private Equity,6000000.0,2016-05-10,2016
Blume Ventures,HealthifyMe,round_1688,Private Equity,6000000.0,2016-05-10,2016
Accel Partners,Zarget,round_1689,Private Equity,1500000.0,2016-05-10,2016
Matrix Partners,Zarget,round_1689,Private Equity,1500000.0,2016-05-10,2016
Girish Mathrubootham,Zarget,round_1689,Private Equity,1500000.0,2016-05-10,2016
NanoHoldings,InnoNano Research,round_1690,Private Equity,18000000.0,2016-05-10,2016
Norwest Venture Partners,Swiggy,round_1692,Private Equity,7000000.0,2016-05-10,2016
DST Global,Swiggy,round_1692,Private Equity,7000000.0,2016-05-10,2016
Accel Partners,Swiggy,round_1692,Private Equity,7000000.0,2016-05-10,2016
JM Financial Products Ltd,Faircent,round_1694,Private Equity,,2016-05-11,2016
Arun Tadanki,Faircent,round_1694,Private Equity,,2016-05-11,2016
Doreswamy Nandkishore,Faircent,round_1694,Private Equity,,2016-05-11,2016
Kshitij Jain,Faircent,round_1694,Private Equity,,2016-05-11,2016
Khazanah Nasional Berhad,Fractal Analytics,round_1695,Private Equity,100000000.0,2016-05-11,2016
Blume Ventures,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Rajan Anandan,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Sumit Jain,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Aprameya Radhakrishna,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Sujeet Kumar,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Phanindra Sama,Unacademy,round_1696,Seed,500000.0,2016-05-12,2016
Creation Investments Capital Management,Capital Float,round_1697,Private Equity,25000000.0,2016-05-12,2016
SAIF Partners,Capital Float,round_1697,Private Equity,25000000.0,2016-05-12,2016
Sequoia Capital,Capital Float,round_1697,Private Equity,25000000.0,2016-05-12,2016
Aspada Ventures,Capital Float,round_1697,Private Equity,25000000.0,2016-05-12,2016
GROUPE SOS,Life Circle,round_1698,Private Equity,150000.0,2016-05-12,2016
Rakesh Gupta,Dream Wallets,round_1699,Seed,,2016-05-12,2016
Aditya Aggarwal,Dream Wallets,round_1699,Seed,,2016-05-12,2016
Siddharth Banerjee,Dream Wallets,round_1699,Seed,,2016-05-12,2016
Vikas Ranjan,Dream Wallets,round_1699,Seed,,2016-05-12,2016
Anshul Jindal,Dream Wallets,round_1699,Seed,,2016-05-12,2016
"Sunil Koul, and Sanjeev Agrawal",Dream Wallets,round_1699,Seed,,2016-05-12,2016
ah! Ventures,ShabdNagari,round_1700,Seed,,2016-05-12,2016
Phanindra Sama,Galleri5,round_1701,Seed,,2016-05-12,2016
Raghunandan G,Galleri5,round_1701,Seed,,2016-05-12,2016
Anurag Chauhan,Derbii,round_1702,Seed,,2016-05-12,2016
Matrix Partners,StayZilla,round_1703,Private Equity,13500000.0,2016-05-13,2016
Nexus Ventures,StayZilla,round_1703,Private Equity,13500000.0,2016-05-13,2016
Undisclosed Investors & Tamarind Family Private Trust,WoW Express,round_1704,Private Equity,2200000.0,2016-05-13,2016
S Chand,Smartivity,round_1705,Private Equity,1000000.0,2016-05-16,2016
AdvantEdge Partners,Smartivity,round_1705,Private Equity,1000000.0,2016-05-16,2016
Kinnevik Group,BedBathMore,round_1706,Private Equity,,2016-05-16,2016
Rocket Internet,BedBathMore,round_1706,Private Equity,,2016-05-16,2016
Rata Tata,Murgency,round_1707,Private Equity,,2016-05-17,2016
Accel Partners,Crownit,round_1708,Private Equity,,2016-05-17,2016
Helion Venture Partners,Crownit,round_1708,Private Equity,,2016-05-17,2016
Anupam Mittal,Blinge,round_1709,Seed,,2016-05-17,2016
Anuj Srivastava,Blinge,round_1709,Seed,,2016-05-17,2016
Ankit Nagori,Blinge,round_1709,Seed,,2016-05-17,2016
YourNest Angel Fund,TheSmartQ,round_1710,Seed,250000.0,2016-05-18,2016
Katabole Technology Venture,PurpleHealth,round_1711,Seed,100000.0,2016-05-18,2016
Subramanya SV,Fundamentor,round_1712,Seed,,2016-05-18,2016
Kaizen Management Advisors,EduPristine,round_1713,Private Equity,10000000.0,2016-05-18,2016
DeVry Inc,EduPristine,round_1713,Private Equity,10000000.0,2016-05-18,2016
Blume Ventures,BhiveWorkspace,round_1714,Private Equity,1000000.0,2016-05-18,2016
Sujeet Kumar,Parentlane,round_1715,Seed,,2016-05-18,2016
Aprameya,Parentlane,round_1715,Seed,,2016-05-18,2016
Sumit Jain,Parentlane,round_1715,Seed,,2016-05-18,2016
Subramanya Venkat,Parentlane,round_1715,Seed,,2016-05-18,2016
Venk,Parentlane,round_1715,Seed,,2016-05-18,2016
Ravi Machani,Parentlane,round_1715,Seed,,2016-05-18,2016
Hitesh Gupta,Parentlane,round_1715,Seed,,2016-05-18,2016
Rohit Choudhary,Parentlane,round_1715,Seed,,2016-05-18,2016
Ratan Tata,Niki.ai,round_1717,Private Equity,,2016-05-19,2016
Undisclosed HNIs,TaxiVaxi,round_1718,Seed,500000.0,2016-05-19,2016
Chatsworth Management,Veqta,round_1719,Seed,500000.0,2016-05-19,2016
ITW Digital,Veqta,round_1719,Seed,500000.0,2016-05-19,2016
Pradeep Reddy Kamasan,EduRev,round_1721,Seed,,2016-05-23,2016
vCommission,Hoppingo,round_1722,Seed,89000.0,2016-05-23,2016
MCube Capital Advisors Pvt Ltd,Eatonomist,round_1723,Seed,,2016-05-24,2016
Undisclosed HNIs,Goalwise,round_1724,Seed,1000000.0,2016-05-24,2016
Indian Angel Network,Roast,round_1725,Seed,,2016-05-25,2016
Gray Matters Capital,Address Health,round_1726,Private Equity,1500000.0,2016-05-25,2016
Sudhir Mehta,Arcatron Mobility,round_1727,Seed,100000.0,2016-05-25,2016
Anand Mahindra,SheThePeople,round_1728,Seed,,2016-05-25,2016
FF Angel,Cleartax,round_1729,Private Equity,2000000.0,2016-05-26,2016
Sequoia Capital,Cleartax,round_1729,Private Equity,2000000.0,2016-05-26,2016
Accel Partners,Consure Medical,round_1730,Private Equity,,2016-05-26,2016
Indian Angel Network,Consure Medical,round_1730,Private Equity,,2016-05-26,2016
India Innovation Fund India Venture Partners,Consure Medical,round_1730,Private Equity,,2016-05-26,2016
MoMagic Technologies,mChamp,round_1731,Seed,475000.0,2016-05-26,2016
Kunal Shah,Pianta,round_1732,Seed,,2016-05-27,2016
Sandeep Tandon,Pianta,round_1732,Seed,,2016-05-27,2016
Anirudh Damani,Vahanalytics,round_1733,Seed,200000.0,2016-05-30,2016
Vikram Lakhotia,Vahanalytics,round_1733,Seed,200000.0,2016-05-30,2016
Ashish Gupta and other undisclosed investors,Play Your Sport,round_1734,Seed,,2016-05-31,2016
HT Media Ltd,Koovs,round_1735,Private Equity,4400000.0,2016-05-31,2016
NSI Infinium Global Pvt. Ltd,CCavenue,round_1736,Private Equity,8900000.0,2016-05-31,2016
HBM Healthcare Investments,1mg,round_1737,Private Equity,,2016-05-31,2016
Ashish Gupta,Tpot,round_1738,Seed,,2016-05-31,2016
Nelstone Ventures,Dil Mil,round_1740,Private Equity,2700000.0,2016-04-01,2016
Transmedia Capital,Dil Mil,round_1740,Private Equity,2700000.0,2016-04-01,2016
Maiden Lane Ventures,Dil Mil,round_1740,Private Equity,2700000.0,2016-04-01,2016
CSC Upshot & Angel investors,Dil Mil,round_1740,Private Equity,2700000.0,2016-04-01,2016
Raman Roy,PicsDream,round_1741,Seed,,2016-04-01,2016
Indian Angel Network,Process 9,round_1742,Seed,,2016-04-01,2016
Alok Sharma,Process 9,round_1742,Seed,,2016-04-01,2016
Kris Gopalakrishnan,Process 9,round_1742,Seed,,2016-04-01,2016
"Saurabh Srivastava, and Ajai Chowdhry",Process 9,round_1742,Seed,,2016-04-01,2016
Vineet Singh,Housing,round_1743,Private Equity,,2016-04-04,2016
Equentia Natural Resource & Other undisclosed investors,Roll Mafia,round_1744,Seed,,2016-04-04,2016
Xiaomi Inc,Hungama,round_1745,Private Equity,25000000.0,2016-04-04,2016
N.S. Raghavan Centre for Entrepreneurial Learning,Highway Delite,round_1746,Seed,,2016-04-04,2016
Mukesh Bansal,Cult Fitness,round_1747,Seed,,2016-04-05,2016
Times Internet Ltd,Haptik,round_1748,Private Equity,,2016-04-05,2016
