investor_a,investor_b,timesCoInvested
Endiya Partners,Ventureast,3
Eight Roads Ventures,Ventureast,2
Touchstone Equities,Ventureast,1
BVR Mohan Reddy,Ventureast,1
Eight Roads Ventures,Endiya Partners,2
Endiya Partners,Touchstone Equities,1
BVR Mohan Reddy,Endiya Partners,1
Eight Roads Ventures,Touchstone Equities,1
BVR Mohan Reddy,Eight Roads Ventures,1
BVR Mohan Reddy,Touchstone Equities,1
Rahul Maroli,Shivani Singh,1
Mitesh Shah,Shivani Singh,1
Shivani Singh,Venture Catalysts,1
Alfa Capital,Shivani Singh,1
Green Shots Capital,Shivani Singh,1
Real Time Ventures.,Shivani Singh,1
Mitesh Shah,Rahul Maroli,1
Rahul Maroli,Venture Catalysts,1
Alfa Capital,Rahul Maroli,1
Green Shots Capital,Rahul Maroli,1
Rahul Maroli,Real Time Ventures.,1
Mitesh Shah,Venture Catalysts,1
Alfa Capital,Mitesh Shah,1
Green Shots Capital,Mitesh Shah,1
Mitesh Shah,Real Time Ventures.,1
Alfa Capital,Venture Catalysts,2
Green Shots Capital,Venture Catalysts,2
Real Time Ventures.,Venture Catalysts,1
Alfa Capital,Green Shots Capital,2
Alfa Capital,Real Time Ventures.,1
Green Shots Capital,Real Time Ventures.,1
Axilor Ventures,Newfort Capital,1
Axis Bank,HDFC Bank,1
Apis Partner,Eight Roads Ventures,1
Apis Partner,Bamboo Capital Partners,1
Bamboo Capital Partners,Eight Roads Ventures,1
Mumbai Angel,Singapore Angel Network,1
Kiran Shetty,Mohan Tanksale,1
Darshak Shah,Mohan Tanksale,1
Mandar Mhatre,Mohan Tanksale,1
Darshak Shah,Kiran Shetty,1
Kiran Shetty,Mandar Mhatre,1
Darshak Shah,Mandar Mhatre,1
Accel Partners,RB Investments,2
RB Investments,Sequoia Capital,2
Mountain Pain Capital,Suncoast Investments,1
Costanoa,Learn Capital,1
Costanoa,Jyoti Bansal,1
Jyoti Bansal,Learn Capital,1
Purnima Khandelwal,Swati Gupta,1
Maheshwar Peri,Swati Gupta,1
Sanjay Singh,Swati Gupta,1
Maheshwar Peri,Purnima Khandelwal,1
Purnima Khandelwal,Sanjay Singh,1
Maheshwar Peri,Sanjay Singh,1
Axilor Ventures,E-City VEntures Atul Goel,1
"""Kedaraa Capital","Ontario Teachers\\'""",1
Ambarish Gupta,Aneesh Reddy,1
Ambarish Gupta,Bold Ventures,1
Ambarish Gupta,Vona Investments,1
Aneesh Reddy,Bold Ventures,1
Aneesh Reddy,Vona Investments,1
Bold Ventures,Vona Investments,1
Arun Garg,Manish Poddar,1
Manish Poddar,Parmeshwar Sharma,1
Arun Garg,Parmeshwar Sharma,1
Kae Capital Management,Nazara Technologies,1
Alok Mittal,Deepak Jain,1
Alok Mittal,Ritesh Malik,1
Alok Mittal,Jim Schimdktke,1
Deepak Jain,Ritesh Malik,1
Deepak Jain,Jim Schimdktke,1
Jim Schimdktke,Ritesh Malik,1
Khosla Ventures,Matrix Partners India,1
Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm,Titan Co Ltd,1
Pioneering Ventures,Syngenta AG,1
IDFC-Parampara Fund,IDG Ventures,1
Innov8,Singtel,1
Harmony Partners,Singtel,1
Harmony Partners,Innov8,1
Apurva Chamaria,Girish Mathrubootham,1
Girish Mathrubootham,Rohit Chanana,1
Apurva Chamaria,Rohit Chanana,1
Alok Srivastava,Nishit Sharma,1
Incubation Foundation (SIIF),SSCBS Innovation,1
Aravind Sanka,Skycatcher Fund,1
IDG Ventures,Notion Capital,1
Dr. Aniruddha Malpani,Vida Ventures,1
MEMG CDC,Sabre Partners,1
MediAssist,NB Ventures,1
Accel,Matrix PArtners,1
Apurva Chamaria,Startup Buddy,1
Sachin Arora,Startup Buddy,1
Bharat Gupta,Startup Buddy,1
Amit Manocha,Startup Buddy,1
Apurva Chamaria,Sachin Arora,1
Apurva Chamaria,Bharat Gupta,1
Amit Manocha,Apurva Chamaria,1
Bharat Gupta,Sachin Arora,1
Amit Manocha,Sachin Arora,1
Amit Manocha,Bharat Gupta,1
Softbank Group,Tencent,1
Blume Ventures,IDG Ventures & Indian Angel Network,1
Helion Venture Partners,Sequoia India,1
Beenext,Sequoia India,2
Beenext,Helion Venture Partners,1
Epsilon Venture Partners,Tara India Fund IV and others,1
Axan Partners,Das Capital,1
Das Capital,Das Capital and IT Farm,1
Axan Partners,Das Capital and IT Farm,1
Das Capital,Simile Ventures,1
Firoze Irani,Vipul Parekh,1
Ananda Kallugadde,Firoze Irani,1
Firoze Irani,Rajesh K Murthy,1
Ananda Kallugadde,Vipul Parekh,1
Rajesh K Murthy,Vipul Parekh,1
Ananda Kallugadde,Rajesh K Murthy,1
Keshav Sanghi,Rahul Agarwalla,1
Batlivala & Karani Securities,Rahul Agarwalla,1
Batlivala & Karani Securities,Keshav Sanghi,1
SAIF Partners,YCombinator,1
SAIF Partners,Venture Highway,2
Venture Highway,YCombinator,1
DG Ventures India,Wellington Management,1
True North,Wellington Management,1
DG Ventures India,True North,1
Snehal Mantri,Vida Ventures,1
Anshu Bahadur,Vida Ventures,1
Anshu Bahadur,Snehal Mantri,1
Shunwei Capital,Xiaomi Technologies,1
Accel Partners,Zephyr Peacock,1
GREE Ventures,Nexus,1
Helion Ventures,SAIF Partners,1
FIL Capital Management,SAIF Partners,1
FIL Capital Management,Helion Ventures,1
DSG Consumer Partners,Sequoia Capital,1
DSG Consumer Partners,Saama Capital,3
Saama Capital,Sequoia Capital,1
IAN Fund,Indian Angel network,1
Matrix Partners India,WaterBridge Ventures,1
Matrix Partners India,Whiteboard Capital,1
Matrix Partners India,Sarbvir Singh,1
WaterBridge Ventures,Whiteboard Capital,1
Sarbvir Singh,WaterBridge Ventures,1
Sarbvir Singh,Whiteboard Capital,1
Blume Ventures,Indian Angel Network,2
Abhishek Bhatewara,Vivek Shah,1
Abhishek Bhatewara,Haitong Securities,1
Abhishek Bhatewara,Suraj Saharan,1
Abhishek Bhatewara,Paras Arora,1
Haitong Securities,Vivek Shah,1
Suraj Saharan,Vivek Shah,1
Paras Arora,Vivek Shah,1
Haitong Securities,Suraj Saharan,1
Haitong Securities,Paras Arora,1
Paras Arora,Suraj Saharan,1
Hunch Ventures,Spiral Ventures,1
500 Startups,Hunch Ventures,1
Hunch Ventures,Singapore Angel Network,1
Citrus Payments,Hunch Ventures,1
500 Startups,Spiral Ventures,1
Singapore Angel Network,Spiral Ventures,1
Citrus Payments,Spiral Ventures,1
500 Startups,Singapore Angel Network,2
500 Startups,Citrus Payments,1
Citrus Payments,Singapore Angel Network,1
Incubate Fund,Sandesh Kirkire,1
Anand Kumar,Incubate Fund,1
Incubate Fund,Yogesh Chaudhary,1
Anand Kumar,Sandesh Kirkire,1
Sandesh Kirkire,Yogesh Chaudhary,1
Anand Kumar,Yogesh Chaudhary,1
IL&FS,Trust Capital,1
IL&FS,Rosy Blue Securities,1
IL&FS,Radhakrishan Damani and Rakesh Jhunjhunwala,1
Rosy Blue Securities,Trust Capital,1
Radhakrishan Damani and Rakesh Jhunjhunwala,Trust Capital,1
Radhakrishan Damani and Rakesh Jhunjhunwala,Rosy Blue Securities,1
Mayur Abhaya,Stellaris Venture Partners,1
Rohit MA,Stellaris Venture Partners,1
Mayur Abhaya,Rohit MA,1
Accel Partners,Exfinity Ventures,1
Accel Partners,Partech Ventures,1
Exfinity Ventures,Partech Ventures,1
BeeNext,SRI Capital,1
Pravega Ventures,SRI Capital,1
BeeNext,Pravega Ventures,1
Anand Mahindra,Michael and Susan Dell Foundation,1
Bertelsmann India,Mayfield Capital,1
Bertelsmann India,Saama Capital,1
Bertelsmann India,Darrin Capital,1
Mayfield Capital,Saama Capital,1
Darrin Capital,Mayfield Capital,1
Darrin Capital,Saama Capital,1
HIS Co. Ltd,MakeMyTrip,1
Artiman Ventures,Sequoia Capital India,1
International Finance Corporation (IFC),Inventus Capital Partners,1
Accel Partners,International Finance Corporation (IFC),2
International Finance Corporation (IFC),"Kalaari Capital, and Nandan Nilekani",1
Accel Partners,Inventus Capital Partners,1
Inventus Capital Partners,"Kalaari Capital, and Nandan Nilekani",1
Accel Partners,"Kalaari Capital, and Nandan Nilekani",1
Sequoia Capital India,SoftBank Group,1
Lightspeed Venture Partners,SoftBank Group,1
Greenoaks Capital,SoftBank Group,2
Hero Enterprise,SoftBank Group,1
Lightspeed Venture Partners,Sequoia Capital India,1
Greenoaks Capital,Sequoia Capital India,1
Hero Enterprise,Sequoia Capital India,1
Greenoaks Capital,Lightspeed Venture Partners,2
Hero Enterprise,Lightspeed Venture Partners,1
Greenoaks Capital,Hero Enterprise,1
Alok Mittal,Venture Highway,1
Mohit Agarwal,Venture Highway,1
Anuj Gupta,Venture Highway,1
Alok Mittal,Mohit Agarwal,1
Alok Mittal,Anuj Gupta,1
Anuj Gupta,Mohit Agarwal,1
P.V SIndhu,Sachin Tendulkar,1
Pullela Gopichand,Sachin Tendulkar,1
P.V SIndhu,Pullela Gopichand,1
Arvind Uppal,Raman Roy,1
Raman Roy,Sonu Bhasin,1
G Ravishankar,Raman Roy,1
Arvind Uppal,Sonu Bhasin,1
Arvind Uppal,G Ravishankar,1
G Ravishankar,Sonu Bhasin,1
Qualcomm Ventures,WRV Capital,1
Edelweiss Private Equity,WRV Capital,1
Artiman Ventures,WRV Capital,1
Edelweiss Private Equity,Qualcomm Ventures,1
Artiman Ventures,Qualcomm Ventures,1
Artiman Ventures,Edelweiss Private Equity,1
Beenext,IAN Fund,1
IAN Fund,Indian Angel Network,1
Beenext,Indian Angel Network,1
Anand Chandrasekaran,Apurva Chamaria,1
Anand Chandrasekaran,Ritesh Malik,1
Anand Chandrasekaran,Ashish Toshniwal,1
Ajeet Khurana,Anand Chandrasekaran,1
Apurva Chamaria,Ritesh Malik,1
Apurva Chamaria,Ashish Toshniwal,1
Ajeet Khurana,Apurva Chamaria,1
Ashish Toshniwal,Ritesh Malik,1
Ajeet Khurana,Ritesh Malik,1
Ajeet Khurana,Ashish Toshniwal,1
Nexus Venture Partners and Blume Ventures,Sequoia Capital India,1
Nexus Venture Partners and Blume Ventures,SAIF Partners,1
Chennai Angels,Keiretsu Forum & Others,1
Rajit Nanda,Rohit Nanda,1
Rohit Nanda,Smarak Bhuyan,1
Rohit Nanda,Sashwat Brahma,1
Rajit Nanda,Smarak Bhuyan,1
Rajit Nanda,Sashwat Brahma,1
Sashwat Brahma,Smarak Bhuyan,1
Manish Amin,Rising Stars,1
Pallav Pandey,Rising Stars,1
Chavi Jafa,Rising Stars,1
Manish Amin,Pallav Pandey,1
Chavi Jafa,Manish Amin,1
Chavi Jafa,Pallav Pandey,1
Aprameya Radhakrishna,Shamik Sharma,1
Pearl Brook Holdings,Sandway Investment Ltd,1
Sandway Investment Ltd,Silo Holdings and Al Nour,1
Pearl Brook Holdings,Silo Holdings and Al Nour,1
Prime Venture Partners.,Vertex Ventures,1
Jamil Khatri,Rajan Anandan,1
Rajan Anandan,Ravi Iyer,1
Raghav Bahl,Rajan Anandan,1
Jamil Khatri,Ravi Iyer,1
Jamil Khatri,Raghav Bahl,1
Raghav Bahl,Ravi Iyer,1
Aniruddha Malpani,Startup Oasis,1
IL&FS Investment Managers,Omidyar Network.,1
Capillary Technologies,Whiteboard Capital,1
Capillary Technologies,YourNest Angel Fund,1
Capillary Technologies,Rajul Garg,1
Whiteboard Capital,YourNest Angel Fund,1
Rajul Garg,Whiteboard Capital,1
Rajul Garg,YourNest Angel Fund,2
Blume Ventures,Goldbell Group,1
Anurag Srivastava,Blume Ventures,1
Blume Ventures,Shailesh Rao,1
Amiya Pathak,Blume Ventures,1
Blume Ventures,Rajesh Yohanan and Rahul Garg,1
Anurag Srivastava,Goldbell Group,1
Goldbell Group,Shailesh Rao,1
Amiya Pathak,Goldbell Group,1
Goldbell Group,Rajesh Yohanan and Rahul Garg,1
Anurag Srivastava,Shailesh Rao,1
Amiya Pathak,Anurag Srivastava,1
Anurag Srivastava,Rajesh Yohanan and Rahul Garg,1
Amiya Pathak,Shailesh Rao,1
Rajesh Yohanan and Rahul Garg,Shailesh Rao,1
Amiya Pathak,Rajesh Yohanan and Rahul Garg,1
Anand Sankeshwar,Kashyap Deorah,1
Deepak Jain,Kashyap Deorah,1
Kashyap Deorah,Sadashiva NT,1
Arjun Mehta,Kashyap Deorah,1
Kashyap Deorah,Satish Kaul,1
Anindya Ghose,Kashyap Deorah,1
Anand Sankeshwar,Deepak Jain,1
Anand Sankeshwar,Sadashiva NT,1
Anand Sankeshwar,Arjun Mehta,1
Anand Sankeshwar,Satish Kaul,1
Anand Sankeshwar,Anindya Ghose,1
Deepak Jain,Sadashiva NT,1
Arjun Mehta,Deepak Jain,1
Deepak Jain,Satish Kaul,1
Anindya Ghose,Deepak Jain,1
Arjun Mehta,Sadashiva NT,1
Sadashiva NT,Satish Kaul,1
Anindya Ghose,Sadashiva NT,1
Arjun Mehta,Satish Kaul,1
Anindya Ghose,Arjun Mehta,1
Anindya Ghose,Satish Kaul,1
Kunal Shah,LetsVenture,1
Anupam Mittal,Kunal Shah,3
Hetal Sonpal,Kunal Shah,1
Anupam Mittal,LetsVenture,2
Hetal Sonpal,LetsVenture,1
Anupam Mittal,Hetal Sonpal,1
Narottam Thudi,Shireesh Palle,1
DSG Consumer Partners,Eight Roads Ventures India,1
Anuj Puri,Redcliffe Capital,1
Anuj Puri,Artha India Ventures,1
Anuj Puri,Siddharth Kothari,1
Anuj Puri,Apoorv Ranjan Sharma,1
Artha India Ventures,Redcliffe Capital,1
Redcliffe Capital,Siddharth Kothari,1
Apoorv Ranjan Sharma,Redcliffe Capital,1
Artha India Ventures,Siddharth Kothari,1
Apoorv Ranjan Sharma,Artha India Ventures,1
Apoorv Ranjan Sharma,Siddharth Kothari,1
R. Jayakumar,Vaibhav Vohra,1
Aditya Vazirani,R. Jayakumar,1
R. Jayakumar,Rhea Vazirani,1
AVN Business Solutions,R. Jayakumar,1
Dreamweaver Investments,R. Jayakumar,1
Aditya Vazirani,Vaibhav Vohra,1
Rhea Vazirani,Vaibhav Vohra,1
AVN Business Solutions,Vaibhav Vohra,1
Dreamweaver Investments,Vaibhav Vohra,1
Aditya Vazirani,Rhea Vazirani,1
AVN Business Solutions,Aditya Vazirani,1
Aditya Vazirani,Dreamweaver Investments,1
AVN Business Solutions,Rhea Vazirani,1
Dreamweaver Investments,Rhea Vazirani,1
AVN Business Solutions,Dreamweaver Investments,1
Rahul Dev Kumar,Rajesh Mahajan,1
Ankit Sharma and others,Rahul Dev Kumar,1
Ankit Sharma and others,Rajesh Mahajan,1
Ajay Bhatia,Venugopal Dhoot,1
Tarun Khandelwal,Venugopal Dhoot,1
Ganpat Singhvi,Venugopal Dhoot,1
Mandhian family & Others,Venugopal Dhoot,1
Ajay Bhatia,Tarun Khandelwal,1
Ajay Bhatia,Ganpat Singhvi,1
Ajay Bhatia,Mandhian family & Others,1
Ganpat Singhvi,Tarun Khandelwal,1
Mandhian family & Others,Tarun Khandelwal,1
Ganpat Singhvi,Mandhian family & Others,1
Incubate Fund,Sanjay Shenoy,1
Incubate Fund,Mridul Upreti,1
Mridul Upreti,Sanjay Shenoy,1
Bennett,Coleman and Company Ltd (BCCL),1
Fullerton India Credit Company Ltd,InCred Finance,1
InCred,Krishnakumar Natarajan,1
InCred,Ravi Bhardwaj,1
Krishnakumar Natarajan,Ravi Bhardwaj,1
Green Visor Capital LP II,IA Venture Strategies Fund II LP,1
Boillot Family Trust,Green Visor Capital LP II,1
Green Visor Capital LP II,Russell M Byrne,1
Green Visor Capital LP II,The Oliver R. Grace,1
Green Visor Capital LP II,Jr. Millennium Trust,1
Green Visor Capital LP II,SF Capital Investments LP,1
Boillot Family Trust,IA Venture Strategies Fund II LP,1
IA Venture Strategies Fund II LP,Russell M Byrne,1
IA Venture Strategies Fund II LP,The Oliver R. Grace,1
IA Venture Strategies Fund II LP,Jr. Millennium Trust,1
IA Venture Strategies Fund II LP,SF Capital Investments LP,1
Boillot Family Trust,Russell M Byrne,1
Boillot Family Trust,The Oliver R. Grace,1
Boillot Family Trust,Jr. Millennium Trust,1
Boillot Family Trust,SF Capital Investments LP,1
Russell M Byrne,The Oliver R. Grace,1
Jr. Millennium Trust,Russell M Byrne,1
Russell M Byrne,SF Capital Investments LP,1
Jr. Millennium Trust,The Oliver R. Grace,1
SF Capital Investments LP,The Oliver R. Grace,1
Jr. Millennium Trust,SF Capital Investments LP,1
Rajan Anandan,Social Alpha,1
Rajeev Ahuja,Social Alpha,1
Kshitij Arora,Social Alpha,1
Rajan Anandan,Rajeev Ahuja,1
Kshitij Arora,Rajan Anandan,1
Kshitij Arora,Rajeev Ahuja,1
Riverwood Capital,Sequoia Capital India,1
Nexus Venture Partners,Riverwood Capital,1
Riverwood Capital,Tenaya Capital,1
Nexus Venture Partners,Sequoia Capital India,1
Sequoia Capital India,Tenaya Capital,1
Nexus Venture Partners,Tenaya Capital,1
IIT Ropar,Imanpreet Singh Arora,1
IIT Ropar,Sidharth Rozario,1
IIT Ropar,Saurabh Abichandani,1
IIT Ropar,Shikhar Gupta,1
Imanpreet Singh Arora,Sidharth Rozario,1
Imanpreet Singh Arora,Saurabh Abichandani,1
Imanpreet Singh Arora,Shikhar Gupta,1
Saurabh Abichandani,Sidharth Rozario,1
Shikhar Gupta,Sidharth Rozario,1
Saurabh Abichandani,Shikhar Gupta,1
JS Capital Management,Social Capital,1
Horizons Ventures,JS Capital Management,1
Horizons Ventures,Social Capital,1
Raksul,VAMM Ventures,1
Dena,VAMM Ventures,1
Dena,Raksul,1
PBS Srinivas,Vinod Martin,1
C31 Ventures,Sistema Asia Fund,1
Qualgro.,Sistema Asia Fund,1
C31 Ventures,Qualgro.,1
Accel Partners,Kalaari Capital,3
Accel Partners,\\xc2\\xa0 UC-RNT fund,1
IDG Ventures,Kalaari Capital,2
IDG Ventures,\\xc2\\xa0 UC-RNT fund,1
Kalaari Capital,\\xc2\\xa0 UC-RNT fund,1
Capier Investments,"idal Health, growx ventures",1
Globevestor & others,"idal Health, growx ventures",1
Capier Investments,Globevestor & others,1
Sequoia India,Sofina s.a.,1
Sequoia India,Zodius Capital,1
Kris Gopalakrishnan,Sequoia India,1
Lakshmi Narayanan,Sequoia India,1
Sofina s.a.,Zodius Capital,1
Kris Gopalakrishnan,Sofina s.a.,1
Lakshmi Narayanan,Sofina s.a.,1
Kris Gopalakrishnan,Zodius Capital,1
Lakshmi Narayanan,Zodius Capital,1
Kris Gopalakrishnan,Lakshmi Narayanan,1
Infuse Ventures,JLL,1
Asset Management (Asia) Ltd,Digital Garage Inc,1
Kalaari Capital,Nexus India Capital Advisors,1
International Finance Corporation,Rocketship,1
Accel Partners,International Finance Corporation,1
International Finance Corporation,Jungle Ventures,1
International Finance Corporation,Shailesh Rao,1
International Finance Corporation,Venture Highway,1
Accel Partners,Rocketship,1
Jungle Ventures,Rocketship,1
Rocketship,Shailesh Rao,1
Rocketship,Venture Highway,1
Accel Partners,Jungle Ventures,2
Accel Partners,Shailesh Rao,1
Accel Partners,Venture Highway,1
Jungle Ventures,Shailesh Rao,1
Jungle Ventures,Venture Highway,1
Shailesh Rao,Venture Highway,1
Blume Ventures,Contrarian Capital India Partners,1
Blume Ventures,Emergent Ventures India,1
Blume Ventures,Pallav Nadhani,1
Ashish Gupta,Blume Ventures,1
Blume Ventures,Sharad Sharma,1
Blume Ventures,Sirion Labs,1
Contrarian Capital India Partners,Emergent Ventures India,1
Contrarian Capital India Partners,Pallav Nadhani,1
Ashish Gupta,Contrarian Capital India Partners,1
Contrarian Capital India Partners,Sharad Sharma,1
Contrarian Capital India Partners,Sirion Labs,1
Emergent Ventures India,Pallav Nadhani,1
Ashish Gupta,Emergent Ventures India,1
Emergent Ventures India,Sharad Sharma,1
Emergent Ventures India,Sirion Labs,1
Ashish Gupta,Pallav Nadhani,1
Pallav Nadhani,Sharad Sharma,1
Pallav Nadhani,Sirion Labs,1
Ashish Gupta,Sharad Sharma,1
Ashish Gupta,Sirion Labs,1
Sharad Sharma,Sirion Labs,1
India Quotient,Shunwei Capital,1
Sreeram Iyer,Suvo Sarkar,1
Anita Gupta,Sreeram Iyer,1
Likemind Ventures,Sreeram Iyer,1
Anita Gupta,Suvo Sarkar,1
Likemind Ventures,Suvo Sarkar,1
Anita Gupta,Likemind Ventures,1
Sourav Ganguly,Venture Catalysts,1
Ankit Aditya,Venture Catalysts,1
Moksh Sports Ventures,Venture Catalysts,1
Ankit Aditya,Sourav Ganguly,1
Moksh Sports Ventures,Sourav Ganguly,1
Ankit Aditya,Moksh Sports Ventures,1
Apurva Salarpuria,Fireside Ventures,1
Fireside Ventures,Sidharth Pansari,1
Fireside Ventures,Sprout Capital,1
Apurva Salarpuria,Sidharth Pansari,1
Apurva Salarpuria,Sprout Capital,1
Sidharth Pansari,Sprout Capital,1
Bessemer Venture Partners,SBI-FMO Fund,1
Catamaran Ventures,SBI-FMO Fund,1
Bessemer Venture Partners,Catamaran Ventures,1
Corvus Ventures,MAPE Advisory Group,2
500 Startups,Purvi Capital,1
500 Startups,Rajan Anandan,2
500 Startups,Abhishek Gupta,1
Purvi Capital,Rajan Anandan,1
Abhishek Gupta,Purvi Capital,1
Abhishek Gupta,Rajan Anandan,1
Brigade Innovations LLP,TV Mohandas Pai,1
Brigade Innovations LLP,Suhail Rahman,1
Bobby Reddy,Brigade Innovations LLP,1
Brigade Innovations LLP,M George Oommen,1
Suhail Rahman,TV Mohandas Pai,1
Bobby Reddy,TV Mohandas Pai,1
M George Oommen,TV Mohandas Pai,1
Bobby Reddy,Suhail Rahman,1
M George Oommen,Suhail Rahman,1
Bobby Reddy,M George Oommen,1
Grey Orange,Sequoia Capital,1
Rajesh Ramaiah,Sequoia Capital,1
Anshuman Das,Sequoia Capital,1
Rishi Das,Sequoia Capital,1
Grey Orange,Rajesh Ramaiah,1
Anshuman Das,Grey Orange,1
Grey Orange,Rishi Das,1
Anshuman Das,Rajesh Ramaiah,1
Rajesh Ramaiah,Rishi Das,1
Anshuman Das,Rishi Das,1
IDG Ventures India Advisors,Jungle Ventures,1
Amaya Capital LLP,Uber Technologies Inc,1
Renaud Laplanche,ain Capital Ventures,1
Kae Capital,M&S Partners,1
Subramani Somasundaram,Sundeep Sahni,1
Mayank Mittal & Others,Subramani Somasundaram,1
Mayank Mittal & Others,Sundeep Sahni,1
Harmeet Bajaj,Pameela P,1
Fusiontech Ventures & Others,Harmeet Bajaj,1
Fusiontech Ventures & Others,Pameela P,1
Aditya Singh,Sunil Kalra,1
Rishi Srivastava,Sunil Kalra,1
Rajan Anandan,Sunil Kalra,3
Aditya Singh,Rishi Srivastava,1
Aditya Singh,Rajan Anandan,1
Rajan Anandan,Rishi Srivastava,1
Blume Ventures,NB Ventures,1
Blume Ventures,Nspira,1
NB Ventures,Nspira,1
Anand Mahindra,Indian Angel Network,1
HBM Healthcare Investments,Maverick Capital Ventures,1
HBM Healthcare Investments,Sequoia India,1
HBM Healthcare Investments,Omidyar Network and Kae Capital,1
