investor_a,investor_b,timesCoInvested
Jessica Wong,Xue Manzi and Yiyun Zhang.,1
Hiro Mashita,Xue Manzi and Yiyun Zhang.,1
Accel Partners and Tiger Global Management.,Insight Venture Partners,1
Axilor Ventures,Kumar Vembu,2
Initia Holdings,Vipin Agarwal and others.,1
Accion Venture Lab,Unicorn India Ventures and ISME ACE.,1
Google,Kae Capital,1
Google,IIFL,1
Google,Singularity Ventures,1
Google,GrowX,1
Google,Tracxn Labs,1
Google,Venture Catalyst,1
Google,Patni family office and Axis Capital.,1
IIFL,Kae Capital,1
Kae Capital,Singularity Ventures,2
GrowX,Kae Capital,2
Kae Capital,Tracxn Labs,2
Kae Capital,Venture Catalyst,1
Kae Capital,Patni family office and Axis Capital.,1
IIFL,Singularity Ventures,1
GrowX,IIFL,1
IIFL,Tracxn Labs,1
IIFL,Venture Catalyst,1
IIFL,Patni family office and Axis Capital.,1
GrowX,Singularity Ventures,2
Singularity Ventures,Tracxn Labs,2
Singularity Ventures,Venture Catalyst,1
Patni family office and Axis Capital.,Singularity Ventures,1
GrowX,Tracxn Labs,2
GrowX,Venture Catalyst,1
GrowX,Patni family office and Axis Capital.,1
Tracxn Labs,Venture Catalyst,1
Patni family office and Axis Capital.,Tracxn Labs,1
Patni family office and Axis Capital.,Venture Catalyst,1
Alibaba,Helion Venture Partners,1
Alibaba,Bessemer Venture Partners,1
Alibaba,Ascent Capital,1
Bessemer Venture Partners,Helion Venture Partners,1
Ascent Capital,Helion Venture Partners,1
Ascent Capital,Bessemer Venture Partners,1
Girnar Software,Man Capital LLP,1
Man Capital LLP,Others,1
Girnar Software,Others,1
Bhavesh Manglani,Suraj Saharan,1
Bhavesh Manglani,Darshan Upadhyay,1
Bhavesh Manglani,Sanjay Notani & Others,1
Darshan Upadhyay,Suraj Saharan,1
Sanjay Notani & Others,Suraj Saharan,1
Darshan Upadhyay,Sanjay Notani & Others,1
Accel Partners,Sequoia Capital,3
Bessemer Venture Partners,Stellaris Venture Partners,2
Axis Capital,Bessemer Venture Partners,2
Bessemer Venture Partners,Singapore,1
Bessemer Venture Partners,Jungle Venture Partners,2
Axis Capital,Stellaris Venture Partners,2
Singapore,Stellaris Venture Partners,1
Jungle Venture Partners,Stellaris Venture Partners,2
Axis Capital,Singapore,1
Axis Capital,Jungle Venture Partners,2
Jungle Venture Partners,Singapore,1
LGT Impact Ventures,Michael & Susan Dell Foundation,1
Dewang Neralla,Mahesh Kothurkar,1
Atul Agarwal,Dewang Neralla,1
Atul Agarwal,Mahesh Kothurkar,1
Mohammed Khan,Sameer Narayan & Others,2
Hinduja Leyland Finance,IntelleGrow,1
Sequoia,Wargburg Pincus,1
Blume Ventures,HealthQuad and Fireside Ventures,1
Citi Ventures,PNC,1
Kris Gopalakrishnan,Pratithi Investment Trust,1
Kris Gopalakrishnan,MEMG Family Office,1
Kris Gopalakrishnan,S Gopal,1
MEMG Family Office,Pratithi Investment Trust,1
Pratithi Investment Trust,S Gopal,1
MEMG Family Office,S Gopal,1
Amit Manocha and others,Startup Buddy,1
Tencent Holdings Ltd,Times Internet,1
