name,totalInvested,dealCount
"Axilor, undisclosed investors",0.0,0
Axis Bank,35000000.0,2
Axis Capital,2400000.0,1
Axis Capital & Others,30000000.0,1
Axis Capital Partners,100000.0,1
Axon Partners,13500000.0,1
Ayesha Takia Azmi,1000000.0,1
Ayushmann Khurana,0.0,0
Azim Premji,140000000.0,1
Azmul Haque,100000.0,1
B Capital,172000000.0,2
B Capital Group,25000000.0,1
B M Gupta,0.0,0
B S Nagesh,0.0,0
BAC Acquisitions,0.0,0
BC Prabhakar,250000.0,1
BCCL,1000000.0,1
BEENEXT,17500000.0,4
BEENEXT Ventures,1900000.0,1
BLIP Initiatives,0.0,0
BRD Securities,0.0,0
BS Nagesh,1000000.0,1
BVR Mohan Reddy,1500000.0,1
Badal Malick,104000.0,1
Baillie Gifford,500000000.0,1
Balaji Prabhakar,0.0,0
Balamurugan Mani,0.0,0
Balasubramanian Krishnamurthy,150000.0,1
Bamboo Capital Partners,60000000.0,1
Bank to the Future and Funders Club,1500000.0,1
Barkawi Holdings GmbH,0.0,0
Basab Pradhan,450000.0,1
Base of Pyramid Asia (BOPA) Pte Ltd,2500000.0,1
Baskar Subramanian,250000.0,1
Batlivala & Karani Securities,1450000.0,2
Battery Road Digital Holdings LLC,422000.0,1
Bay Capital Investments and Others,7500000.0,1
BedRock Ventures,500000.0,1
Bedrock Ventures,1000000.0,1
BeeNext,6550000.0,4
Beehive Capital Advisor,430665.0,1
Beenext,34700000.0,5
Beenext Ventures,5100000.0,2
"Beenext, and Pravega Ventures",4200000.0,1
Beenextan investment fund,9200000.0,1
Beenos,39500000.0,5
Beenos Asia,25000000.0,1
Beerud Sheth and Ravi Mantha,0.0,0
Behram Vakil and Jerxis Vandrevala,1000000.0,1
Bennett,54200000.0,3
Bennett Coleman & Co. Ltd,7000000.0,1
Bennett Coleman and Company Ltd (BCCL),450000000.0,1
Benori Ventures LLP,0.0,0
Berggruen Holdings,25000000.0,1
Bertelsmann India,150250000.0,4
Bertelsmann India Investments,62700000.0,5
Bertelsmann India Investments Norwest Venture Partners.,100000000.0,1
Bessemer Venture,40000000.0,1
Bessemer Venture Partner,25000000.0,1
Bessemer Venture Partners,563000000.0,15
Bessemer Venture Partners and Orios Venture Partners,0.0,0
Bessemer Ventures,1630000.0,2
Best Foodworks,0.0,0
BetOnIndia Technology Pvt Ltd,0.0,0
Bhairavi Jani,0.0,0
Bhanu Vikram Parsotam,150000.0,1
Bharanidharan Viswanathan,150000.0,1
Bharat Gupta,0.0,0
Bharat Innovation,1100000.0,1
Bharat Kedia,0.0,0
Bharat Sheth,3350000.0,1
Bharat Vijay,500000.0,1
Bharti Enterprises,175000000.0,1
Bhavdeep Reddy,400000.0,1
Bhavesh Manglani,0.0,0
Bhavin Turakhia,19000000.0,1
Bhavish Aggarwal,17200000.0,1
Bhupen Shah,275000.0,1
Bhupen Shah & Others,0.0,0
Bhupender Singh,200000.0,1
Big Data Investments B.V,11000000.0,1
Bijou Kurien,1700000.0,2
Bill & Melinda Gates Foundation,14000000.0,1
Binny Bansal,168200000.0,7
BitChemy Ventures,330000.0,1
Bitkemy Ventures,400000.0,1
Biz Stone,5500000.0,2
BizReach,4500000.0,1
BlackJag Partners,200000.0,1
BlackSoil Capital Pvt Ltd,800000.0,1
BlackSoil Capital Pvt. Ltd,1500000.0,1
BlackSoil Capital Pvt. Ltd.,2500000.0,1
Blacksoil,20000000.0,1
Blacksoil Capital Pvt. Ltd,1700000.0,1
Blacksoil and Kalaari Capital,0.0,0
Blackstone Valley Group,0.0,0
Blinc Advisors,1000000.0,1
Blue Cloud Ventures,51000000.0,1
Blue Fog Capital,1700000.0,1
Blue Orchard,8000000.0,1
BlueOrchard Finance Ltd,4600000.0,1
Blume Ventures,172762000.0,35
Blume Ventures & IvyCap Ventures,6000000.0,1
Blume Ventures & Other unnamed Investors,600000.0,1
Blume Ventures & Others,0.0,0
Blume Ventures & Vaibhav Domkundwar,1000000.0,1
Blume Ventures & others,0.0,0
Blume Ventures and Innoven Capital.,6000000.0,1
Blume Ventures and RTP Global,2500000.0,1
Blume Ventures and Ujama,0.0,0
Blume Ventures.,650000.0,1
Blume Ventures. Lenovo Capital and Incubator Group (LCIG),0.0,0
Blume ventures,300000.0,1
Bobby Reddy,540000.0,1
Bodhtree Consulting Limited,232000.0,1
Boillot Family Trust,0.0,0
Bold Ventures,150000.0,1
Boman Irani,0.0,0
BookMyShow,0.0,0
BookMyShow),500000.0,1
Boost VC,1500000.0,1
BrahmaX Ventures,500000.0,1
Brand Capital,59375000.0,11
Brand Capital and Others,500000.0,1
Bravia Capital,16000000.0,1
Breakthrough Energy Ventures,18000000.0,1
Bren Corporation,5000000.0,1
Brian Acton,3500000.0,1
Brick Eagle,1600000.0,1
Brigade Innovations LLP,540000.0,1
British and Indian Governments,0.0,0
Broadbean Capital services,500000.0,1
Bunny Bansal & other investors,10000000.0,1
"Burda Principal Investments, and Sofina",226000000.0,1
ByteDance,25000000.0,1
C31 Ventures,12000000.0,2
C4D Partners,868600.0,1
CA Media LP,2800000.0,1
CASHurDRIVE Marketing Pvt Ltd,2000000.0,1
CBA Capital and others,3000000.0,1
CCavenue,466000.0,1
CCube Angels,0.0,0
CDC Group Plc,40500000.0,2
CDC Group plc\\xc2\\xa0,6000000.0,1
"CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",27799000.0,1
CIO Angel Network,500000.0,1
CIO Angel Network (CAN),0.0,0
CLP Holdings Group,32000000.0,1
CLSA Capital Partners ARIA IV Funds,10000000.0,1
CMYK Health Boutique Pvt Ltd & Other individual investors,0.0,0
CP Bothra,0.0,0
CRV,30000000.0,1
CSC Upshot & Angel investors,2700000.0,1
Calcutta Angel Network,0.0,0
Calcutta Angels,900000.0,2
Calcutta Angels Network,0.0,0
Calcutta Angels Network (CAN),0.0,0
"Calcutta Angels, ah! Ventures",700000.0,1
Cameron Jones,0.0,0
Canaan Partners,79000000.0,2
Cao Yibin,0.0,0
Capier Investments,750000.0,1
Capillary Technologies,0.0,0
CapitalG,186500000.0,3
Capricorn Investment Group,38000000.0,2
Capricorn Investment and IFC,40000000.0,1
CareerNet Consulting Pvt. Ltd,670000.0,1
Carlyle Group,100000000.0,1
Carnegie Mellon University,290000.0,1
Carpediem Capital,12600000.0,3
Carpediem Capital & Others,368000.0,1
