roundId,startupName,investmentType,amountUSD,date,year
round_355,Foodmemories,Seed,,2018-02-06,2018
round_356,Healthi,Private Equity,3100000.0,2018-02-06,2018
round_357,Swiggy,Private Equity,100000000.0,2018-02-07,2018
round_358,Shape,Seed,100000000.0,2018-02-08,2018
round_359,Icertis,Private Equity,50000000.0,2018-02-08,2018
round_360,healthifyme,Private Equity,12000000.0,2018-02-09,2018
round_361,MedTel,Private Equity,,2018-02-09,2018
round_362,Rupeek,Private Equity,6830000.0,2018-02-09,2018
round_363,WebEngage,Private Equity,,2018-02-09,2018
round_364,Lendingkart,Private Equity,87000000.0,2018-02-12,2018
round_365,Wydr,Private Equity,,2018-02-12,2018
round_366,Cashify,Debt,935089.0,2018-02-12,2018
round_367,holachef,Seed,311200.0,2018-02-13,2018
round_368,Awaaz De,Seed,,2018-02-13,2018
round_369,IMAX Program,Private Equity,13500000.0,2018-02-13,2018
round_370,Littlemore,Private Equity,3000000.0,2018-02-14,2018
round_371,Toppr,Private Equity,100000.0,2018-02-14,2018
round_372,Shirsa Labs,Private Equity,500000.0,2018-02-14,2018
round_373,MoneyOnMobile,Private Equity,5000000.0,2018-02-14,2018
round_374,PetSutra,Seed / Angel,148434.0,2018-02-15,2018
round_375,Infibeam,Private Equity,6230000.0,2018-02-15,2018
round_376,happay,Seed / Angel,250000.0,2018-02-16,2018
round_377,Fincash,Seed / Angel,150000.0,2018-02-16,2018
round_378,AyeFinance,Private Equity,3800000.0,2018-02-19,2018
round_379,Agricxlab,Seed / Angel,500000.0,2018-02-20,2018
round_380,Udaan,Private Equity,50000000.0,2018-02-21,2018
round_381,Capillary,Private Equity,20000000.0,2018-02-21,2018
round_382,The Healthy Billions,Private Equity,2100000.0,2018-02-21,2018
round_383,HighRadius,Private Equity,,2018-02-21,2018
round_384,Avishkaar Box,Private Equity,772500.0,2018-02-26,2018
round_385,Planys Technologies,Private Equity,1040000.0,2018-02-26,2018
round_386,Lollypop,Seed / Angel,,2018-02-27,2018
round_387,Trilyo,Seed / Angel,250000.0,2018-02-27,2018
round_388,Gaana,Private Equity,115000000.0,2018-02-28,2018
round_389,Credy,Seed / Angel,1400000.0,2018-02-28,2018
round_390,Predible Health,Seed / Angel,,2018-02-28,2018
round_391,CleverTap,Seed / Angel,,2018-01-02,2018
round_392,EarlySalary,Other,15700000.0,2018-01-04,2018
round_393,WOTU,Seed / Angel,,2018-01-05,2018
round_394,DAAKI,Seed / Angel,,2018-01-08,2018
round_395,Lendingkart,Debt,4700000.0,2018-01-09,2018
round_396,Kinsane Entertainment Inc,Seed / Angel,2500000.0,2018-01-09,2018
round_397,Tapzo,Private Equity,1930000.0,2018-01-10,2018
round_398,Appario Retail Pvt Ltd.,Private Equity,18840000.0,2018-01-10,2018
round_399,Samunnati,Private Equity,23500000.0,2018-01-10,2018
round_400,Sahajanand Medical Technologies,Private Equity,36230000.0,2018-01-10,2018
